,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1998-08-07,18.541667938232422,19.8125,18.229167938232422,19.333332061767578,19.333332061767578,23433000,AMZN,46.759514,17.6484375,-1.6848945617675781,0.0
1998-08-13,21.770832061767578,22.5,21.166667938232422,21.25,21.25,24629400,AMZN,45.807056,14.3125,-6.9375,0.0
1998-08-20,21.041667938232422,21.625,20.916667938232422,21.520832061767578,21.520832061767578,15886200,AMZN,44.11632,12.677083015441895,-8.843749046325684,0.0
1998-08-21,21.208332061767578,21.713542938232422,20.541667938232422,21.614582061767578,21.614582061767578,15136200,AMZN,43.652122,12.28125,-9.333332061767578,0.0
1998-09-17,13.40625,13.916666984558105,12.75,12.833333015441895,12.833333015441895,42457800,AMZN,41.45743,14.364583015441895,1.53125,0.0
1998-09-24,17.854167938232422,19.479167938232422,16.916667938232422,17.020832061767578,17.020832061767578,51124200,AMZN,45.077785,16.177082061767578,-0.84375,0.0
1998-10-09,15.041666984558105,15.3125,13.958333015441895,15.197916984558105,15.197916984558105,20727000,AMZN,52.810753,21.072917938232422,5.875000953674316,0.0
1998-10-12,16.1875,16.833332061767578,15.5,15.53125,15.53125,21817200,AMZN,52.00042,21.833332061767578,6.302082061767578,0.0
1998-10-14,15.177083015441895,16.270832061767578,14.958333015441895,15.583333015441895,15.583333015441895,15590400,AMZN,49.337955,21.635417938232422,6.052084922790527,0.0
1998-10-15,15.708333015441895,16.3125,15.416666984558105,16.177082061767578,16.177082061767578,16971000,AMZN,48.101856,21.416667938232422,5.239585876464844,0.0
1998-10-30,21.104167938232422,21.635417938232422,20.770832061767578,21.072917938232422,21.072917938232422,21182400,AMZN,43.419754,30.104167938232422,9.03125,0.0
1998-11-19,28.5,29.25,25.5,25.541667938232422,25.541667938232422,38895600,AMZN,48.917725,37.16666793823242,11.625,0.0
1998-11-23,31.8125,36.41666793823242,31.010417938232422,36.33333206176758,36.33333206176758,67781400,AMZN,57.09142,40.45833206176758,4.125,0.0
1998-11-25,36.08333206176758,37.25,34.16666793823242,35.05208206176758,35.05208206176758,27522600,AMZN,66.78916,46.125,11.072917938232422,0.0
1998-12-01,30.916667938232422,34.95833206176758,30.333332061767578,34.91666793823242,34.91666793823242,47154600,AMZN,72.00281,53.72916793823242,18.8125,0.0
1998-12-02,34.48958206176758,34.58333206176758,32.92708206176758,33.25,33.25,29649000,AMZN,73.134544,54.16666793823242,20.916667938232422,0.0
1998-12-08,31.604167938232422,34.3125,31.416667938232422,34.01041793823242,34.01041793823242,25549800,AMZN,71.98026,53.54166793823242,19.53125,0.0
1998-12-10,36.27083206176758,37.33333206176758,34.9375,35.52083206176758,35.52083206176758,30361800,AMZN,72.93828,59.15625000000001,23.63541793823243,0.0
1998-12-11,35.01041793823242,37.33333206176758,35.0,37.16666793823242,37.16666793823242,25467600,AMZN,73.157,62.25,25.083332061767578,0.0
1998-12-17,44.0,48.58333206176758,43.42708206176758,46.125,46.125,67635000,AMZN,82.84162,92.3125,46.1875,0.0
1999-01-05,54.78125,64.875,53.25,62.25,62.25,62873200,AMZN,96.23551,62.81249999999999,0.5624999999999929,0.0
1999-01-22,49.75,62.9375,49.375,61.5,61.5,43765800,AMZN,109.51162,52.25,-9.25,0.0
1999-01-25,60.75,61.6875,55.0,56.1875,56.1875,27323800,AMZN,106.695755,49.3125,-6.875,0.0
1999-01-28,63.21875,64.375,60.125,61.4375,61.4375,23750600,AMZN,101.22636,50.9375,-10.5,0.0
1999-01-29,60.8125,60.8125,57.5,58.46875,58.46875,16396000,AMZN,99.648094,53.25,-5.21875,0.0
1999-02-02,58.1875,58.21875,54.25,55.125,55.125,13048600,AMZN,95.61907,55.46875,0.34375,0.0
1999-02-08,57.1875,57.5625,52.875,54.5625,54.5625,12598200,AMZN,88.73685,60.65624999999999,6.093749999999993,0.0
1999-02-10,49.125,51.6875,47.5,48.71875,48.71875,13205000,AMZN,83.8214,60.0625,11.34375,0.0
1999-02-12,54.0,54.9375,51.8125,52.25,52.25,7765400,AMZN,79.215225,61.09375,8.84375,0.0
1999-02-23,55.0625,58.5,54.75,57.59375,57.59375,21139200,AMZN,70.48989,66.90625,9.3125,0.0
1999-02-26,63.375,65.0,60.5,64.0625,64.0625,25365400,AMZN,75.44956,67.53125,3.46875,0.0
1999-03-10,68.375,69.46875,67.0,68.5625,68.5625,14117600,AMZN,83.4348,86.09375,17.53125,0.0
1999-03-18,66.4375,70.0,66.1875,69.21875,69.21875,12300200,AMZN,85.02594,91.4375,22.21875,0.0
1999-03-19,70.9375,71.53125,67.5,67.53125,67.53125,10725200,AMZN,84.98001,92.21875,24.6875,0.0
1999-03-29,75.0,75.75,74.0,74.8125,74.8125,18888000,AMZN,82.95729,86.0,11.1875,0.0
1999-04-09,89.0625,93.0,87.875,91.4375,91.4375,6839000,AMZN,104.83726,86.03125,-5.40625,0.0
1999-04-20,78.65625,87.15625,76.75,86.0,86.0,20005000,AMZN,107.745476,74.1875,-11.8125,0.0
1999-04-26,104.5,107.9375,102.0,103.59375,103.59375,13985000,AMZN,112.04973,68.8125,-34.78125,0.0
1999-05-05,71.9375,74.125,66.9375,73.25,73.25,27709800,AMZN,111.307014,60.46875,-12.78125,0.0
1999-05-14,66.5625,67.375,64.90625,66.1875,66.1875,11266800,AMZN,94.484375,58.6875,-7.5,0.0
1999-05-18,68.21875,68.75,65.46875,66.3125,66.3125,12407800,AMZN,91.472466,57.00000000000001,-9.312499999999993,0.0
1999-05-21,65.375,66.0,62.875,64.28125,64.28125,8005600,AMZN,87.516525,46.0,-18.28125,0.0
1999-05-26,56.59375,60.9375,52.25,60.46875,60.46875,21158600,AMZN,82.24964,56.46875,-4.0,0.0
1999-05-27,59.8125,60.28125,57.0,57.28125,57.28125,13573400,AMZN,80.5711,55.65624999999999,-1.625000000000007,0.0
1999-06-02,52.375,57.5,48.5625,56.0625,56.0625,36906400,AMZN,76.54307,58.87499999999999,2.812499999999993,0.0
1999-06-04,52.8125,55.0,50.8125,54.21875,54.21875,19491800,AMZN,74.79998,55.09375,0.875,0.0
1999-06-08,60.0,60.6875,55.1875,55.78125,55.78125,13844400,AMZN,74.108574,58.03125,2.25,0.0
1999-06-11,57.5625,58.5,52.375,52.90625,52.90625,13886600,AMZN,73.52504,62.03125000000001,9.125000000000007,0.0
1999-06-16,50.65625,56.5,50.5,55.84375,55.84375,21707200,AMZN,71.585945,62.68750000000001,6.843750000000007,0.0
1999-07-22,58.21875,58.5625,52.375,53.40625,53.40625,57547200,AMZN,81.57473,45.875,-7.53125,0.0
1999-07-28,50.9921875,53.0625,49.8125,52.875,52.875,25783600,AMZN,79.47867,56.5625,3.6875,0.0
1999-08-02,49.1875,51.0625,46.96875,47.0,47.0,16967800,AMZN,75.53464,59.18750000000001,12.187500000000007,0.0
1999-08-05,43.78125,49.0,41.0,48.625,48.625,37517000,AMZN,73.43615,64.28125,15.65625,0.0
1999-08-10,42.6875,46.09375,41.0,45.5,45.5,23195000,AMZN,71.51309,62.1875,16.6875,0.0
1999-08-11,46.1875,47.625,42.59375,45.46875,45.46875,25655000,AMZN,71.14673,59.53125000000001,14.062500000000007,0.0
1999-08-12,45.5,47.875,44.6875,45.875,45.875,13140800,AMZN,70.65331,60.0625,14.1875,0.0
1999-08-23,57.96875,60.25,57.875,59.1875,59.1875,19206000,AMZN,76.0453,66.0,6.8125,0.0
1999-08-24,58.0,62.75,57.96875,60.03125,60.03125,25010000,AMZN,77.60038,65.5625,5.53125,0.0
1999-08-30,63.78125,65.0,58.9375,59.625,59.625,18494400,AMZN,83.81328,62.25,2.625,0.0
1999-09-10,65.9375,68.0,64.875,66.5,66.5,12420900,AMZN,83.77524,77.25,10.75,0.0
1999-09-22,62.875,66.5,60.6875,66.0,66.0,10037500,AMZN,79.396454,79.9375,13.9375,0.0
1999-09-29,66.5,85.0,65.75,80.75,80.75,79374400,AMZN,81.12553,80.5,-0.25,0.0
1999-10-01,77.0,79.25,76.65625,77.25,77.25,10430300,AMZN,87.72579,78.625,1.375,0.0
1999-10-04,79.4375,79.75,75.75,77.0625,77.0625,9757400,AMZN,89.95215,82.75,5.6875,0.0
1999-10-05,77.125,79.75,74.75,78.4375,78.4375,16420100,AMZN,91.861855,81.25,2.8125,0.0
1999-10-13,82.5,85.0,79.5625,79.9375,79.9375,11561800,AMZN,103.71829,65.8125,-14.125,0.0
1999-10-15,75.875,77.0625,73.9375,75.0625,75.0625,12186900,AMZN,103.01217,64.9375,-10.125,0.0
1999-10-19,77.625,78.25,75.625,76.625,76.625,7780000,AMZN,99.92219,70.8125,-5.8125,0.0
1999-10-20,78.3125,80.625,76.34375,80.5,80.5,7735500,AMZN,98.55588,72.0,-8.5,0.0
1999-10-29,72.75,72.8125,69.25,70.625,70.625,9688800,AMZN,93.40162,77.9375,7.3125,0.0
1999-11-12,73.75,75.0,70.8125,74.9375,74.9375,10319600,AMZN,87.72589,87.75,12.8125,0.0
1999-11-19,77.875,78.125,76.0625,77.9375,77.9375,5760600,AMZN,90.89186,102.5,24.5625,0.0
1999-11-29,95.5,96.875,90.125,90.4375,90.4375,18053700,AMZN,98.820465,97.0,6.5625,0.0
1999-12-13,106.625,106.625,101.5,102.5,102.5,8653700,AMZN,111.71818,81.9375,-20.5625,0.0
1999-12-23,98.0,99.0,89.0625,90.0,90.0,12914600,AMZN,113.50969,64.25,-25.75,0.0
2000-01-03,81.5,89.5625,79.046875,89.375,89.375,16117600,AMZN,100.22075,69.25,-20.125,0.0
2000-01-13,64.9375,67.1875,63.125,65.9375,65.9375,10448100,AMZN,85.58502,78.5625,12.625,0.0
2000-01-14,66.75,68.625,64.0,64.25,64.25,6853600,AMZN,83.919205,75.0,10.75,0.0
2000-01-21,64.625,64.625,60.0,62.0625,62.0625,11461900,AMZN,79.20804,76.1875,14.125,0.0
2000-02-17,71.25,71.3125,68.0,69.0,69.0,6129600,AMZN,89.90509,66.875,-2.125,0.0
2000-02-23,64.875,71.75,64.6875,70.4375,70.4375,8441200,AMZN,84.27359,63.75000000000001,-6.687499999999993,0.0
2000-02-24,70.5625,71.375,65.625,68.4375,68.4375,5869300,AMZN,82.8512,66.25,-2.1875,0.0
2000-03-06,62.875,67.25,62.8125,63.9375,63.9375,7665800,AMZN,75.08645,73.125,9.1875,0.0
2000-03-17,66.0625,66.375,64.5,64.8125,64.8125,5298500,AMZN,71.812035,67.5625,2.75,0.0
2000-03-24,74.625,75.25,71.3125,72.6875,72.6875,9746000,AMZN,75.426,46.875,-25.8125,0.0
2000-03-31,66.75,67.125,63.0,67.0,67.0,5115500,AMZN,76.96768,49.8125,-17.1875,0.0
2000-04-03,65.4375,65.6875,62.0,63.5625,63.5625,4865400,AMZN,76.11888,52.4375,-11.125,0.0
2000-04-06,63.4375,65.5,61.875,64.25,64.25,6032700,AMZN,73.36133,55.1875,-9.0625,0.0
2000-04-26,53.3125,57.4375,52.453125,53.5,53.5,12006400,AMZN,59.88555,60.99999999999999,7.499999999999993,0.0
2000-04-27,49.3125,55.25,48.5,52.875,52.875,11266000,AMZN,59.966686,55.375,2.5,0.0
2000-05-01,56.0,60.3125,55.25,59.9375,59.9375,8578500,AMZN,61.020885,51.875,-8.0625,0.0
2000-05-08,56.8125,59.25,55.4375,56.015625,56.015625,3950000,AMZN,63.228962,51.75,-4.265625,0.0
2000-05-19,54.625,55.75,52.25,52.625,52.625,4610900,AMZN,62.619076,48.4375,-4.1875,0.0
2000-05-24,46.4375,49.75,40.4375,48.5625,48.5625,11666600,AMZN,59.76503,46.3125,-2.25,0.0
2000-05-30,47.3125,51.875,47.3125,51.75,51.75,5613200,AMZN,55.80394,46.125,-5.625,0.0
2000-06-07,51.875,52.1875,50.125,51.8125,51.8125,3841200,AMZN,56.958637,37.875,-13.9375,0.0
2000-06-12,52.1875,52.1875,47.0,48.4375,48.4375,3986000,AMZN,56.97158,37.0,-11.4375,0.0
2000-06-14,49.3125,49.875,46.0,46.4375,46.4375,5020500,AMZN,55.833996,36.0625,-10.375,0.0
2000-07-06,36.875,37.375,34.75,36.0625,36.0625,6767100,AMZN,45.793888,31.375000000000004,-4.6874999999999964,0.0
2000-07-11,35.1875,35.25,32.625,33.125,33.125,9896500,AMZN,44.7131,30.25,-2.875,0.0
2000-07-19,41.5,41.5625,39.0,40.875,40.875,4743700,AMZN,47.487602,30.874999999999996,-10.000000000000004,0.0
2000-07-20,40.9375,43.375,39.5,40.3125,40.3125,6945700,AMZN,47.964066,30.4375,-9.875,0.0
2000-07-25,36.75,38.75,33.25,37.625,37.625,27752500,AMZN,48.66244,37.5625,-0.0625,0.0
2000-08-17,38.0,39.0625,36.875,38.25,38.25,4974100,AMZN,41.87556,42.9375,4.6875,0.0
2000-08-22,38.125,38.1875,36.0625,36.5,36.5,3508200,AMZN,43.52242,42.4375,5.9375,0.0
2000-08-31,43.125,43.1875,41.4375,41.5,41.5,4616300,AMZN,45.59603,41.4375,-0.0625,0.0
2000-09-21,37.4375,40.5,37.25,40.0625,40.0625,7425600,AMZN,47.855717,25.125,-14.9375,0.0
2000-09-29,39.0,41.25,37.625,38.4375,38.4375,6517100,AMZN,45.06007,30.812500000000004,-7.6249999999999964,0.0
2000-10-13,24.25,28.875,23.5,28.4375,28.4375,7633400,AMZN,35.965694,37.5625,9.125,0.0
2000-11-08,36.0,37.0,33.25,33.875,33.875,5835300,AMZN,47.19621,24.6875,-9.1875,0.0
2000-11-24,26.421875,29.125,26.0625,28.9375,28.9375,7639300,AMZN,33.886356,22.875,-6.0625,0.0
2000-12-05,27.125,27.625,24.75,25.375,25.375,9969900,AMZN,32.088257,16.875,-8.5,0.0
2000-12-06,24.6875,26.0,23.625,23.625,23.625,8825800,AMZN,31.956535,17.375,-6.25,0.0
2000-12-07,23.0625,23.4375,20.125,21.375,21.375,10647500,AMZN,31.623829,15.5625,-5.8125,0.0
2000-12-15,22.25,24.25,22.0,22.875,22.875,8713700,AMZN,31.127493,16.375,-6.5,0.0
2000-12-20,16.1875,17.875,15.625,16.6875,16.6875,22050700,AMZN,30.094267,17.6875,1.0,0.0
2001-01-16,18.3125,18.375,17.25,18.0625,18.0625,6017000,AMZN,25.30902,15.8125,-2.25,0.0
2001-01-18,18.375,19.5,17.9375,19.5,19.5,4115800,AMZN,25.801397,14.375,-5.125,0.0
2001-02-12,14.125,15.0,13.703125,14.5,14.5,5295300,AMZN,22.691559,11.875,-2.625,0.0
2001-02-14,14.125,14.75,13.5,14.4375,14.4375,8123400,AMZN,21.67728,11.6875,-2.75,0.0
2001-02-15,13.5,14.625,13.5,14.5,14.5,16384500,AMZN,21.638294,12.25,-2.25,0.0
2001-02-23,11.875,12.0625,11.0625,11.8125,11.8125,5149900,AMZN,19.532257,11.0,-0.8125,0.0
2001-03-01,9.875,10.6875,9.59375,10.4375,10.4375,10996700,AMZN,17.990221,10.1875,-0.25,0.0
2001-03-05,12.375,13.0625,11.5,12.625,12.625,23500700,AMZN,17.947104,10.9399995803833,-1.6850004196166992,0.0
2001-03-06,13.078125,14.0,11.25,11.875,11.875,23191500,AMZN,18.72719,11.640000343322754,-0.2349996566772461,0.0
2001-03-08,11.9375,12.0,11.625,11.6875,11.6875,4957600,AMZN,19.362452,10.0,-1.6875,0.0
2001-03-09,11.4375,12.5,11.375,12.25,12.25,8856700,AMZN,19.417234,10.229999542236328,-2.020000457763672,0.0
2001-03-16,10.625,11.0625,10.25,11.0,11.0,6984200,AMZN,17.754301,8.369999885559082,-2.630000114440918,0.0
2001-03-30,10.119999885559082,10.84000015258789,9.90999984741211,10.229999542236328,10.229999542236328,3558400,AMZN,14.506268,16.200000762939453,5.970001220703125,0.0
2001-04-05,9.020000457763672,9.300000190734863,8.720000267028809,9.119999885559082,9.119999885559082,5424200,AMZN,12.775571,15.270000457763674,6.150000572204592,0.0
2001-04-10,11.239999771118164,13.5,11.199999809265137,12.010000228881836,12.010000228881836,18860400,AMZN,13.740484,17.110000610351562,5.100000381469727,0.0
